DATE,CBBTCUSD
2020-06-01,10212.38
2020-06-08,9833.94
2020-06-15,9437.23
2020-06-22,9700.91
2020-06-29,9191.05
2020-07-06,9331.69
2020-07-13,9230.14
2020-07-20,9161.13
2020-07-27,11108.44
2020-08-03,11235.44
2020-08-10,11896.19
2020-08-17,12325.1
2020-08-24,11762.34
2020-08-31,11665.93
2020-09-07,10389.85
2020-09-14,10679.33
2020-09-21,10425.85
2020-09-28,10681.01
2020-10-05,10800.0
2020-10-12,11534.83
2020-10-19,11765.09
2020-10-26,13072.95
2020-11-02,13573.93
2020-11-09,15334.37
2020-11-16,16714.58
2020-11-23,18391.21
2020-11-30,19727.0
2020-12-07,19202.88
2020-12-14,19288.43
2020-12-21,22777.26
2020-12-28,27044.14
2021-01-04,32127.31
2021-01-11,35474.31
2021-01-18,36765.97
2021-01-25,31979.0
2021-02-01,33457.6
2021-02-08,46674.44
2021-02-15,47911.87
2021-02-22,54130.33
2021-03-01,49652.19
2021-03-08,52472.59
2021-03-15,55430.19
2021-03-22,54230.21
2021-03-29,57630.72
2021-04-05,59200.0
2021-04-12,59903.04
2021-04-19,55797.39
2021-04-26,53969.71
2021-05-03,57213.29
2021-05-10,55936.77
2021-05-17,43768.74
2021-05-24,38725.06
2021-05-31,37153.71
2021-06-07,33816.09
2021-06-14,40496.92
2021-06-21,31686.69
2021-06-28,34541.8
2021-07-05,33673.22
2021-07-12,33096.86
2021-07-19,30849.9
2021-07-26,37269.12
2021-08-02,39146.69
2021-08-09,46208.5
2021-08-16,45930.71
2021-08-23,49464.66
2021-08-30,46924.16
2021-09-06,52691.2
2021-09-13,44969.02
2021-09-20,42991.14
2021-09-27,42214.52
2021-10-04,49248.68
2021-10-11,57440.05
2021-10-18,62036.95
2021-10-25,63102.83
2021-11-01,60950.0
2021-11-08,67510.06
2021-11-15,63441.68
2021-11-22,56254.57
2021-11-29,57828.33
2021-12-06,50588.91
2021-12-13,46639.86
2021-12-20,46963.71
2021-12-27,50663.26
2022-01-03,46519.76
